5310000000,5310400000,5310800000,5311200000,5311600000,5312000000,5312400000,5312800000,5313200000,5313600000,5314000000,5314400000,5314800000,5315200000,5315600000,5316000000,5316400000,5316800000,5317200000,5317600000,5318000000,5318400000,5318800000,5319200000,5319600000,5320000000,5320400000,5320800000,5321200000,5321600000,5322000000,5322400000,5322800000,5323200000,5323600000,5324000000,5324400000,5324800000,5325200000,5325600000,5326000000,5326400000,5326800000,5327200000,5327600000,5328000000,5328400000,5328800000,5329200000,5329600000,5330000000
-90.134,-90.576,-90.574,-90.088,-90.419,-90.222,-89.442,-90.521,-90.331,-90.433,-89.82,-89.587,-89.6,-90.139,-89.339,-89.46,-88.888,-88.624,-89.019,-88.775,-88.664,-88.389,-89.533,-90.401,-88.948,-88.49,-89.939,-90.667,-88.514,-88.712,-90.504,-90.884,-90.628,-90.32,-91.175,-90.6,-90.201,-89.024,-89.273,-88.659,-88.416,-88.765,-87.967,-88.549,-88.985,-89.387,-88.968,-89.207,-90.223,-89.557,-90.021
-90.361,-90.061,-90.165,-89.976,-90.144,-90.01,-89.019,-89.324,-90.175,-90.162,-90.077,-90.117,-89.625,-89.465,-90.067,-89.599,-88.889,-88.315,-87.979,-87.976,-88.157,-88.791,-89.319,-89.168,-87.96,-87.845,-89.578,-89.478,-90.141,-88.547,-90.355,-90.512,-90.914,-90.307,-90.812,-91.06,-90.236,-90.034,-89.292,-88.912,-88.43,-88.816,-89.201,-89.656,-89.288,-89.293,-89.824,-89.727,-90.271,-90.485,-90.051
-89.7,-90.415,-89.606,-90.015,-89.941,-90.509,-90.489,-90.166,-90.397,-89.773,-88.976,-89.907,-89.76,-89.781,-90.026,-89.75,-89.474,-89.188,-88.735,-88.444,-88.181,-89.219,-88.85,-88.403,-89.219,-88.441,-90.4,-88.28,-90.106,-91.035,-88.284,-88.594,-88.854,-89.543,-90.903,-90.197,-90.92,-90.09,-88.595,-87.777,-87.776,-88.315,-88.123,-89.043,-87.844,-88.373,-88.166,-89.72,-89.866,-88.999,-88.547
-89.25,-89.974,-89.124,-89.654,-90.389,-89.082,-89.011,-89.196,-88.885,-88.642,-88.88,-88.608,-88.565,-89.303,-88.997,-88.449,-88.939,-88.266,-88.231,-88.173,-88.159,-88.736,-89.067,-89.105,-89.406,-89.964,-90.87,-90.954,-90.284,-90.87,-91.072,-90.401,-90.681,-90.895,-90.612,-91.108,-89.662,-89.38,-89.08,-88.629,-88.122,-87.933,-88.019,-88.479,-88.721,-88.565,-89.093,-90.843,-93.03,-89.622,-89.641
-90.438,-88.898,-87.638,-88.871,-88.182,-87.723,-89.541,-88.423,-88.183,-88.133,-88.819,-88.637,-88.018,-88.628,-88.516,-88.28,-88.692,-88.914,-89.315,-87.285,-87.441,-86.924,-88.096,-89.248,-89.119,-89.426,-88.248,-87.309,-88.234,-87.858,-89.808,-90.791,-90.668,-90.679,-90.312,-90.233,-90.776,-90.212,-89.112,-88.808,-88.276,-87.798,-87.733,-88.132,-88.087,-88.417,-90.684,-90.233,-88.433,-88.847,-90.512
-90.472,-89.062,-89.96,-89.846,-89.761,-89.734,-89.353,-90.002,-90.066,-89.96,-89.761,-89.676,-89.33,-89.656,-89.742,-89.567,-89.304,-89.345,-88.832,-89.208,-88.932,-89.265,-89.383,-90.139,-89.937,-89.088,-89.072,-90.523,-88.321,-90.185,-90.437,-89.922,-90.511,-90.434,-90.071,-89.746,-90.318,-89.517,-89.859,-89.046,-88.074,-88.527,-88.99,-89.237,-88.655,-88.353,-88.349,-89.58,-88.984,-89.542,-89.1
-88.914,-90.382,-90.407,-89.959,-90.578,-90.823,-90.648,-90.525,-90.288,-90.353,-90.105,-89.985,-89.807,-90.259,-90.087,-89.281,-89.106,-88.404,-88.73,-88.781,-88.279,-89.798,-88.334,-91.127,-89.62,-88.336,-90.021,-89.542,-90.918,-90.655,-90.367,-90.4,-90.587,-90.669,-90.435,-90.575,-90.358,-90.026,-89.269,-88.729,-88.154,-88.036,-88.264,-87.334,-88.797,-88.645,-88.041,-89.552,-89.032,-90.549,-89.179
-89.405,-89.779,-89.773,-89.921,-89.908,-89.514,-90.128,-89.742,-89.915,-89.665,-89.646,-89.954,-89.695,-89.306,-89.744,-89.386,-88.92,-88.983,-88.536,-88.229,-87.561,-88.466,-88.853,-89.95,-88.16,-89.809,-90.407,-90.57,-90.035,-89.523,-89.844,-90.149,-88.974,-88.249,-88.835,-88.514,-88.519,-87.659,-88.269,-88.857,-88.42,-88.111,-88.849,-88.015,-89.388,-88.612,-89.516,-89.641,-89.164,-88.851,-88.774
-89.217,-89.959,-90.052,-90.212,-90.511,-90.436,-89.861,-90.045,-90.055,-90.142,-90.049,-88.853,-89.289,-89.297,-89.291,-89.414,-89.047,-88.548,-88.436,-87.981,-87.989,-88.373,-89.755,-88.425,-90.532,-89.523,-88.082,-90.256,-90.784,-90.782,-90.354,-90.572,-90.196,-90.099,-90.379,-90.121,-90.228,-89.582,-89.649,-88.458,-88.474,-88.389,-88.918,-88.677,-88.945,-88.786,-90.495,-89.648,-90.709,-89.259,-90.771
